comparison,medium,time,agitation,compound,genus,log2FoldChange,stat,padj,sig_padj0.05,sig_padj0.01
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Parabacteroides,0.6283224483032639,3.1821460369493324,0.01270711823933873,TRUE,FALSE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Longibaculum,-1.760736144375732,-3.111845009590469,0.01500656811737461,TRUE,FALSE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Parasutterella,0.7954374183407751,2.99499577772401,0.02067513093876542,TRUE,FALSE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Catenibacterium,-1.1311482964809343,-2.951690922994879,0.0223202613527984,TRUE,FALSE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Sutterella,-0.43986609290854994,-2.7956876166905653,0.03442474006964106,TRUE,FALSE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Megamonas,1.199908178471353,2.480113724178212,0.08245263786981133,FALSE,FALSE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Anaerostipes,-0.3711282180066376,-2.1075088930862997,0.1711185107319652,FALSE,FALSE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Olsenella,-4.910864163228345,-1.6089551171210814,0.3537851424425704,FALSE,FALSE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Roseburia,0.33657485484349137,1.533171198282374,0.3537851424425704,FALSE,FALSE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Senegalimassilia,-0.8156721002933791,-1.5359690820999123,0.3537851424425704,FALSE,FALSE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Eggerthella,0.4073799997804932,1.1545031305046176,0.5845253544379737,FALSE,FALSE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Anaerobutyricum,-0.2508140167210889,-1.086873594035742,0.599061961229553,FALSE,FALSE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Dorea,0.11037727711028164,1.0360562417681718,0.599061961229553,FALSE,FALSE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Faecalibacterium,0.1913306042578436,1.0489627365179135,0.599061961229553,FALSE,FALSE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Gemmiger,0.2040645736067032,0.9996442562768832,0.599061961229553,FALSE,FALSE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Mediterraneibacter,0.1547628910190196,0.9203886107089766,0.6309809087361894,FALSE,FALSE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Anaeromassilibacillus,0.3602647034362401,0.8981347199684201,0.6416900243040746,FALSE,FALSE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Phocaeicola,-0.14847555669953336,-0.8351498873579853,0.6515795039354105,FALSE,FALSE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Collinsella,0.2568916876118774,0.5892645676961414,0.7772285401688592,FALSE,FALSE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Intestinibacter,-0.609416973269807,-0.5871120984984419,0.7772285401688592,FALSE,FALSE
