"sample_id","Shannon","Simpson","Richness","Evenness","medium","treatment","stirred","time","replicate","condition"
"repBC50_Pl2",3.57311739961851,0.955577615358817,109,0.761639829174362,"GAM","WaterControl","Stirred","24","R2","GAM_WaterControl_Stirred_24"
"repBC50_Pl3",3.53220626045137,0.954339441057935,79,0.808387324832602,"mBHI","Quercetin","Static","48","R2","mBHI_Quercetin_Static_48"
"repBC51_Pl1",2.11856447932875,0.706622687162824,53,0.533604209830839,"Schaedler","CGA","Stirred","24","R3","Schaedler_CGA_Stirred_24"
"repBC51_Pl2",3.64207165695841,0.960542880726525,100,0.790865811656634,"GAM","WaterControl","Stirred","24","R3","GAM_WaterControl_Stirred_24"
"repBC51_Pl3",3.5029390466019,0.949955295985531,94,0.771012935430023,"mBHI","Quercetin","Static","48","R3","mBHI_Quercetin_Static_48"
"repBC52_Pl1",2.00569943877016,0.666474718874137,58,0.493960741121262,"Schaedler","DMSOControl","Stirred","24","R1","Schaedler_DMSOControl_Stirred_24"
"repBC52_Pl2",3.58320051453612,0.956163941309947,110,0.762305176426804,"GAM","FecesOnly","Stirred","24","R1","GAM_FecesOnly_Stirred_24"
"repBC52_Pl3",3.49656612475383,0.951447738970164,87,0.782946274722556,"mBHI","CGA","Static","48","R1","mBHI_CGA_Static_48"
"repBC53_Pl1",1.60877383415347,0.536473603900015,59,0.39454544716884,"Schaedler","DMSOControl","Stirred","24","R2","Schaedler_DMSOControl_Stirred_24"
"repBC53_Pl2",3.56300021491952,0.955467875610571,102,0.770382953319324,"GAM","FecesOnly","Stirred","24","R2","GAM_FecesOnly_Stirred_24"
"repBC53_Pl3",3.41215769785326,0.946996035306368,78,0.783196177111969,"mBHI","CGA","Static","48","R2","mBHI_CGA_Static_48"
"repBC54_Pl1",1.92776175135604,0.715184885548026,67,0.458478639429122,"Schaedler","DMSOControl","Stirred","24","R3","Schaedler_DMSOControl_Stirred_24"
"repBC54_Pl2",3.56000998582219,0.953148293483108,117,0.747559840225235,"GAM","FecesOnly","Stirred","24","R3","GAM_FecesOnly_Stirred_24"
"repBC54_Pl3",3.49015589804528,0.949992212051575,84,0.787700339801096,"mBHI","CGA","Static","48","R3","mBHI_CGA_Static_48"
"repBC55_Pl1",1.95077294141149,0.636712401368207,64,0.469061741412457,"Schaedler","WaterControl","Stirred","24","R1","Schaedler_WaterControl_Stirred_24"
"repBC55_Pl2",3.57191955153232,0.952791450387002,104,0.769082454319827,"GAM","Quercetin","Static","48","R1","GAM_Quercetin_Static_48"
"repBC55_Pl3",3.53830518696942,0.954928873491799,77,0.814563462987593,"mBHI","DMSOControl","Static","48","R1","mBHI_DMSOControl_Static_48"
